,never,rarely,sometimes,frequently,always,County,State,mask_score
186,0.019,0.008,0.055,0.12300000000000001,0.795,Alameda,CA,3.6670000000000003
187,0.025,0.085,0.08800000000000001,0.19,0.612,Alpine,CA,3.279
188,0.045,0.013000000000000001,0.099,0.188,0.655,Amador,CA,3.3950000000000005
189,0.015,0.043,0.111,0.204,0.626,Butte,CA,3.3810000000000002
190,0.045,0.019,0.098,0.276,0.562,Calaveras,CA,3.2910000000000004
191,0.027000000000000003,0.031,0.092,0.151,0.7,Colusa,CA,3.468
192,0.018000000000000002,0.016,0.039,0.121,0.8059999999999999,Contra Costa,CA,3.6809999999999996
193,0.01,0.135,0.11199999999999999,0.196,0.547,Del Norte,CA,3.1350000000000002
194,0.027999999999999997,0.042,0.07200000000000001,0.183,0.675,El Dorado,CA,3.435
195,0.021,0.022000000000000002,0.059000000000000004,0.156,0.741,Fresno,CA,3.572
196,0.027999999999999997,0.026000000000000002,0.146,0.20600000000000002,0.594,Glenn,CA,3.3120000000000003
197,0.042,0.006,0.018000000000000002,0.069,0.865,Humboldt,CA,3.709
198,0.001,0.005,0.03,0.128,0.836,Imperial,CA,3.7929999999999997
199,0.033,0.011000000000000001,0.008,0.057999999999999996,0.889,Inyo,CA,3.757
200,0.022000000000000002,0.027999999999999997,0.105,0.177,0.6679999999999999,Kern,CA,3.441
201,0.075,0.016,0.049,0.094,0.7659999999999999,Kings,CA,3.4599999999999995
202,0.003,0.004,0.006999999999999999,0.136,0.8490000000000001,Lake,CA,3.8220000000000005
203,0.064,0.068,0.162,0.225,0.48200000000000004,Lassen,CA,2.995
204,0.021,0.013000000000000001,0.049,0.131,0.7859999999999999,Los Angeles,CA,3.6479999999999997
205,0.019,0.059000000000000004,0.048,0.124,0.7509999999999999,Madera,CA,3.5309999999999997
206,0.011000000000000001,0.0,0.046,0.141,0.802,Marin,CA,3.723
207,0.01,0.094,0.049,0.18600000000000003,0.6609999999999999,Mariposa,CA,3.3939999999999997
208,0.002,0.003,0.004,0.222,0.77,Mendocino,CA,3.757
209,0.026000000000000002,0.036000000000000004,0.08900000000000001,0.146,0.703,Merced,CA,3.4639999999999995
210,0.068,0.019,0.095,0.204,0.615,Modoc,CA,3.2809999999999997
211,0.011000000000000001,0.026000000000000002,0.012,0.07,0.88,Mono,CA,3.7800000000000002
212,0.023,0.006,0.066,0.141,0.763,Monterey,CA,3.613
213,0.017,0.026000000000000002,0.033,0.149,0.773,Napa,CA,3.6310000000000002
214,0.003,0.054000000000000006,0.084,0.177,0.682,Nevada,CA,3.481
215,0.023,0.021,0.046,0.156,0.754,Orange,CA,3.597
216,0.012,0.023,0.07200000000000001,0.201,0.693,Placer,CA,3.542
217,0.063,0.067,0.053,0.146,0.6709999999999999,Plumas,CA,3.295
218,0.026000000000000002,0.013999999999999999,0.040999999999999995,0.11599999999999999,0.8029999999999999,Riverside,CA,3.6559999999999997
219,0.025,0.027999999999999997,0.062,0.16399999999999998,0.722,Sacramento,CA,3.532
220,0.018000000000000002,0.004,0.063,0.175,0.7390000000000001,San Benito,CA,3.611
221,0.027000000000000003,0.022000000000000002,0.048,0.134,0.768,San Bernardino,CA,3.592
222,0.017,0.023,0.034,0.126,0.8,San Diego,CA,3.669
223,0.017,0.011000000000000001,0.035,0.121,0.8170000000000001,San Francisco,CA,3.712
224,0.054000000000000006,0.019,0.081,0.165,0.68,San Joaquin,CA,3.396
225,0.025,0.024,0.037000000000000005,0.16899999999999998,0.745,San Luis Obispo,CA,3.585
226,0.016,0.013000000000000001,0.057999999999999996,0.126,0.7859999999999999,San Mateo,CA,3.651
227,0.015,0.02,0.075,0.153,0.737,Santa Barbara,CA,3.577
228,0.015,0.013999999999999999,0.04,0.168,0.764,Santa Clara,CA,3.654
229,0.008,0.0,0.086,0.109,0.797,Santa Cruz,CA,3.6870000000000003
230,0.095,0.055999999999999994,0.071,0.23199999999999998,0.547,Shasta,CA,3.082
231,0.14,0.053,0.047,0.14300000000000002,0.617,Sierra,CA,3.044
232,0.132,0.07400000000000001,0.08199999999999999,0.16699999999999998,0.546,Siskiyou,CA,2.923
233,0.043,0.046,0.035,0.14800000000000002,0.728,Solano,CA,3.472
234,0.022000000000000002,0.012,0.022000000000000002,0.149,0.795,Sonoma,CA,3.6830000000000003
235,0.032,0.027999999999999997,0.062,0.17300000000000001,0.705,Stanislaus,CA,3.4909999999999997
236,0.057999999999999996,0.031,0.08,0.163,0.669,Sutter,CA,3.356
237,0.057,0.062,0.141,0.195,0.545,Tehama,CA,3.109
238,0.081,0.07,0.055,0.201,0.5920000000000001,Trinity,CA,3.1510000000000002
239,0.025,0.039,0.115,0.136,0.685,Tulare,CA,3.4170000000000003
240,0.008,0.043,0.084,0.212,0.653,Tuolumne,CA,3.459
241,0.024,0.011000000000000001,0.033,0.156,0.777,Ventura,CA,3.653
242,0.006999999999999999,0.005,0.04,0.156,0.7909999999999999,Yolo,CA,3.7169999999999996
243,0.057,0.035,0.071,0.16699999999999998,0.669,Yuba,CA,3.354
2208,0.051,0.18899999999999997,0.179,0.18899999999999997,0.392,Baker,OR,2.682
2209,0.006999999999999999,0.006999999999999999,0.059000000000000004,0.156,0.77,Benton,OR,3.673
2210,0.016,0.024,0.071,0.168,0.721,Clackamas,OR,3.554
2211,0.052000000000000005,0.027000000000000003,0.051,0.073,0.797,Clatsop,OR,3.536
2212,0.048,0.015,0.158,0.174,0.604,Columbia,OR,3.269
2213,0.128,0.061,0.136,0.099,0.5770000000000001,Coos,OR,2.9380000000000006
2214,0.019,0.075,0.027000000000000003,0.24600000000000002,0.633,Crook,OR,3.399
2215,0.025,0.057999999999999996,0.1,0.162,0.655,Curry,OR,3.364
2216,0.01,0.061,0.013999999999999999,0.25,0.6659999999999999,Deschutes,OR,3.5029999999999997
2217,0.08199999999999999,0.052000000000000005,0.11599999999999999,0.239,0.511,Douglas,OR,3.045
2218,0.008,0.003,0.049,0.332,0.607,Gilliam,OR,3.525
2219,0.013999999999999999,0.062,0.132,0.12,0.6709999999999999,Grant,OR,3.3699999999999997
2220,0.032,0.099,0.114,0.157,0.598,Harney,OR,3.19
2221,0.03,0.071,0.127,0.162,0.61,Hood River,OR,3.251
2222,0.044000000000000004,0.077,0.075,0.138,0.665,Jackson,OR,3.301
2223,0.018000000000000002,0.062,0.012,0.25,0.657,Jefferson,OR,3.464
2224,0.027999999999999997,0.055999999999999994,0.07200000000000001,0.192,0.652,Josephine,OR,3.3840000000000003
2225,0.09699999999999999,0.031,0.062,0.22699999999999998,0.583,Klamath,OR,3.1679999999999997
2226,0.05,0.017,0.127,0.247,0.5579999999999999,Lake,OR,3.2439999999999998
2227,0.031,0.036000000000000004,0.077,0.13699999999999998,0.7190000000000001,Lane,OR,3.4770000000000003
2228,0.001,0.012,0.047,0.131,0.81,Lincoln,OR,3.7390000000000003
2229,0.057,0.025,0.096,0.159,0.664,Linn,OR,3.35
2230,0.071,0.20600000000000002,0.213,0.20600000000000002,0.305,Malheur,OR,2.4699999999999998
2231,0.028999999999999998,0.013000000000000001,0.053,0.196,0.71,Marion,OR,3.5469999999999997
2232,0.026000000000000002,0.004,0.083,0.19699999999999998,0.69,Morrow,OR,3.521
2233,0.013000000000000001,0.016,0.054000000000000006,0.17800000000000002,0.738,Multnomah,OR,3.61
2234,0.013000000000000001,0.022000000000000002,0.078,0.242,0.645,Polk,OR,3.484
2235,0.008,0.013999999999999999,0.046,0.271,0.66,Sherman,OR,3.559
2236,0.125,0.04,0.092,0.163,0.581,Tillamook,OR,3.037
2237,0.043,0.01,0.081,0.155,0.71,Umatilla,OR,3.477
2238,0.034,0.08800000000000001,0.086,0.18899999999999997,0.603,Union,OR,3.239
2239,0.040999999999999995,0.083,0.146,0.22899999999999998,0.501,Wallowa,OR,3.066
2240,0.019,0.034,0.069,0.19699999999999998,0.6809999999999999,Wasco,OR,3.4869999999999997
2241,0.006,0.009000000000000001,0.059000000000000004,0.16899999999999998,0.7559999999999999,Washington,OR,3.6579999999999995
2242,0.023,0.07,0.049,0.23199999999999998,0.626,Wheeler,OR,3.368
2243,0.021,0.035,0.07200000000000001,0.14300000000000002,0.7290000000000001,Yamhill,OR,3.5240000000000005
2953,0.077,0.051,0.07200000000000001,0.076,0.7240000000000001,Adams,WA,3.3190000000000004
2954,0.013999999999999999,0.028999999999999998,0.115,0.32,0.522,Asotin,WA,3.307
2955,0.084,0.011000000000000001,0.064,0.08,0.7609999999999999,Benton,WA,3.4229999999999996
2956,0.062,0.048,0.028999999999999998,0.297,0.564,Chelan,WA,3.2529999999999997
2957,0.001,0.0,0.027999999999999997,0.225,0.746,Clallam,WA,3.715
2958,0.02,0.021,0.048,0.17,0.741,Clark,WA,3.591
2959,0.08,0.031,0.079,0.223,0.586,Columbia,WA,3.202
2960,0.040999999999999995,0.02,0.098,0.21600000000000003,0.625,Cowlitz,WA,3.364
2961,0.067,0.047,0.042,0.271,0.573,Douglas,WA,3.2359999999999998
2962,0.08199999999999999,0.066,0.08199999999999999,0.204,0.565,Ferry,WA,3.102
2963,0.106,0.013000000000000001,0.059000000000000004,0.069,0.753,Franklin,WA,3.35
2964,0.031,0.028999999999999998,0.085,0.292,0.563,Garfield,WA,3.327
2965,0.032,0.052000000000000005,0.10800000000000001,0.146,0.6609999999999999,Grant,WA,3.3499999999999996
2966,0.03,0.009000000000000001,0.087,0.213,0.662,Grays Harbor,WA,3.47
2967,0.015,0.009000000000000001,0.066,0.15,0.759,Island,WA,3.627
2968,0.011000000000000001,0.0,0.064,0.171,0.754,Jefferson,WA,3.657
2969,0.016,0.02,0.05,0.191,0.7240000000000001,King,WA,3.5890000000000004
2970,0.024,0.003,0.051,0.136,0.7859999999999999,Kitsap,WA,3.6569999999999996
2971,0.032,0.084,0.033,0.179,0.672,Kittitas,WA,3.375
2972,0.038,0.028999999999999998,0.113,0.28800000000000003,0.532,Klickitat,WA,3.2470000000000003
2973,0.033,0.11199999999999999,0.128,0.111,0.616,Lewis,WA,3.165
2974,0.017,0.086,0.023,0.10800000000000001,0.765,Lincoln,WA,3.516
2975,0.011000000000000001,0.024,0.091,0.152,0.721,Mason,WA,3.546
2976,0.042,0.066,0.075,0.19899999999999998,0.617,Okanogan,WA,3.2809999999999997
2977,0.08199999999999999,0.016,0.128,0.063,0.7120000000000001,Pacific,WA,3.309
2978,0.027000000000000003,0.122,0.052000000000000005,0.212,0.5870000000000001,Pend Oreille,WA,3.2100000000000004
2979,0.027999999999999997,0.057,0.10300000000000001,0.20600000000000002,0.606,Pierce,WA,3.305
2980,0.015,0.004,0.021,0.22899999999999998,0.73,San Juan,WA,3.653
2981,0.035,0.09699999999999999,0.037000000000000005,0.177,0.653,Skagit,WA,3.314
2982,0.019,0.048,0.092,0.08,0.76,Skamania,WA,3.512
2983,0.017,0.013999999999999999,0.055999999999999994,0.191,0.721,Snohomish,WA,3.5829999999999997
2984,0.033,0.057,0.08,0.151,0.679,Spokane,WA,3.386
2985,0.05,0.039,0.069,0.257,0.585,Stevens,WA,3.288
2986,0.022000000000000002,0.051,0.109,0.132,0.685,Thurston,WA,3.4050000000000002
2987,0.045,0.057,0.079,0.161,0.6579999999999999,Wahkiakum,WA,3.3299999999999996
2988,0.083,0.022000000000000002,0.061,0.193,0.6409999999999999,Walla Walla,WA,3.2869999999999995
2989,0.042,0.027999999999999997,0.061,0.122,0.747,Whatcom,WA,3.504
2990,0.002,0.009000000000000001,0.049,0.31,0.629,Whitman,WA,3.553
2991,0.012,0.035,0.069,0.14300000000000002,0.74,Yakima,WA,3.5620000000000003
